date,predicted_satisfaction,lower_bound,upper_bound
2023-03-05,2.9508513841935047,2.0402077883308736,3.776516947007789
2023-03-06,2.802679932323248,1.8681810736247142,3.630988813794474
2023-03-07,3.191722859285762,2.3496762067192463,4.081342470099211
2023-03-08,3.025037527751975,2.0789923535552974,3.882738991661439
2023-03-09,3.006543699633254,2.1001754626294846,3.9389023880472593
2023-03-10,3.0065738884666486,2.1183327768303317,3.841866039623222
2023-03-11,2.5805392052954845,1.7009035401661694,3.494867229881037
2023-03-12,2.948308317783168,2.049034407410019,3.8600696945484274
2023-03-13,2.800136865913095,1.8671404767609387,3.6676703265337465
2023-03-14,3.1891797928751657,2.301491346097197,4.095681331179168
2023-03-15,3.0224944613405995,2.1005059557979546,3.9286880718562354
2023-03-16,3.0040006332237854,2.0847418631229675,3.8710911908739316
2023-03-17,3.0040308220563494,2.145777573845783,3.9338977491051326
2023-03-18,2.5779961388854926,1.67516941253262,3.4238176821505704
2023-03-19,2.9457652513729595,2.013263880940958,3.8691905345562216
2023-03-20,2.797593799503446,1.9202829083249475,3.681255336207217
2023-03-21,3.1866367264645694,2.324099816019574,4.089500098674313
2023-03-22,3.0199513949305388,2.1797589056581743,3.998570213988723
2023-03-23,3.0014575668143157,2.0241615395047536,3.9234455793061085
2023-03-24,3.0014877556449995,2.0796317058739238,3.912878312859419
2023-03-25,2.5754530724748816,1.6855469601393447,3.4777452592112756
2023-03-26,2.9432221849626226,2.0387994743976927,3.886040584791473
2023-03-27,2.795050733092054,1.8841820572801053,3.64448740558863
2023-03-28,3.1840936600539727,2.309486180701659,4.1135865562050915
2023-03-29,3.0174083285191626,2.130648774490215,3.9499877523935853
2023-03-30,2.9989145004025892,2.1423973651097294,3.8888805999845766
2023-03-31,2.9989446892357505,2.0788747594451435,3.8888696407435224
2023-04-01,2.5729100060642702,1.7298176662472784,3.4768434087755513
2023-04-02,2.9406791185517256,2.03510145436275,3.794465268150462
2023-04-03,2.7925076666819013,1.9110418885103218,3.674625251821984
